name,movie_name,_merge,name_error,error
10 Things I Hate About You,10 Things I Hate About You,both,,
12,,left_only,,
12 Monkeys,12 Monkeys,both,,
12 Years a Slave,12 Years a Slave,both,,
12 and Holding,,left_only,,
127 Hours,,left_only,,
1492: Conquest of Paradise,,left_only,,
15 Minutes,15 Minutes,both,,
17 Again,,left_only,,
187,,left_only,,
2001: A Space Odyssey,2001: A Space Odyssey,both,,
2012,,left_only,,
20th Century Women,,left_only,,
25th Hour,25th Hour,both,,
28 Days Later,,left_only,,
30 Minutes or Less,,left_only,,
42,,left_only,,
44 Inch Chest,,left_only,,
48 Hrs.,,left_only,,
50-50,,left_only,,
500 Days of Summer,,left_only,,
8 Mile,,left_only,8 Mile,HTML len = 0 : no content scrapped
8MM,,left_only,,
9,,left_only,,
A Few Good Men,,left_only,,
A Good Person,,left_only,,
A Million Miles Away,,left_only,,
A Most Violent Year,A Most Violent Year,both,,
A Prayer Before Dawn,,left_only,,
A Quiet Place,,left_only,,
A Real Pain,,left_only,,
A Scanner Darkly,,left_only,,
A Serious Man,,left_only,,
A.I.,,left_only,A.I.,"Webstatus : 404
"
Above the Law,Above the Law,both,,
Absolute Power,Absolute Power,both,,
Ace Ventura: Pet Detective,Ace Ventura: Pet Detective,both,,
Ad Astra,,left_only,,
Adaptation,Adaptation,both,,
Affliction,Affliction,both,,
After School Special,,left_only,,
After.Life,,left_only,,
Agnes of God,,left_only,,
Air,,left_only,,
Air Force One,,left_only,,
Airplane,,left_only,,
Airplane 2: The Sequel,,left_only,,
Aladdin,,left_only,,
Ali,Ali,both,,
Alien,Alien,both,,
Alien 3,,left_only,,
Alien Nation,Alien Nation,both,,
Alien vs. Predator,Alien vs. Predator,both,,
Alien: Resurrection,,left_only,,
Aliens,Aliens,both,,
All About Eve,All About Eve,both,,
All About Steve,,left_only,,
All of Us Strangers,,left_only,,
All the King's Men,,left_only,,
All the President's Men,,left_only,,
Almost Famous,Almost Famous,both,,
Alone in the Dark,,left_only,,
Amadeus,Amadeus,both,,
Amelia,,left_only,,
American Beauty,American Beauty,both,,
American Fiction,,left_only,,
American Gangster,,left_only,,
American Graffiti,American Graffiti,both,,
American History X,,left_only,,
American Hustle,,left_only,,
American Madness,American Madness,both,,
American Milkshake,,left_only,,
American Outlaws,American Outlaws,both,,
American Pie,American Pie,both,,
American Psycho,American Psycho,both,,
American Shaolin: King of Kickboxers II,,left_only,,
American Sniper,,left_only,,
American Splendor,American Splendor,both,,
American Werewolf in London,,left_only,,
Amour,,left_only,,
An Education,,left_only,,
Analyze That,,left_only,,
Analyze This,,left_only,,
Anastasia,,left_only,,
Angel Eyes,Angel Eyes,both,,
Angels & Demons,,left_only,Angels & Demons,HTML len = 0 : no content scrapped
Anna Karenina,,left_only,,
Annie Hall,Annie Hall,both,,
Anonymous,,left_only,,
Anora,,left_only,,
Antitrust,Antitrust,both,,
Antz,Antz,both,,
Apocalypse Now,Apocalypse Now,both,,
Apollo 13,,left_only,Apollo 13,HTML len = 0 : no content scrapped
April Fool's Day,,left_only,,
Apt Pupil,Apt Pupil,both,,
Arbitrage,,left_only,,
Arcade,,left_only,,
Arctic Blue,,left_only,,
Argo,,left_only,,
Armageddon,,left_only,,
Army of Darkness,,left_only,,
Arsenic and Old Lace,,left_only,,
Arthur,,left_only,,
As Good As It Gets,As Good As It Gets,both,,
Assassins,Assassins,both,,
Asteroid City,,left_only,,
At First Sight,At First Sight,both,,
August: Osage County,,left_only,,
Austin Powers - International Man of Mystery,,left_only,,
Austin Powers - The Spy Who Shagged Me,,left_only,,
Authors Anonymous,,left_only,,
Autumn in New York,,left_only,,
Avatar,,left_only,,
Avengers: Endgame,,left_only,,
"Avventura, L' (The Adventure)",,left_only,,
Awakenings,Awakenings,both,,
Babel,Babel,both,,
Bachelor Party,Bachelor Party,both,,
Back to the Future,,left_only,Back to the Future,HTML len = 0 : no content scrapped
Back to the Future II & III,,left_only,Back to the Future II & III,HTML len = 0 : no content scrapped
Backdraft,Backdraft,both,,
Bad Boys,Bad Boys,both,,
Bad Country,,left_only,,
Bad Day at Black Rock,,left_only,,
Bad Dreams,,left_only,,
Bad Lieutenant,Bad Lieutenant,both,,
Bad Santa,Bad Santa,both,,
Bad Teacher,,left_only,,
Badlands,Badlands,both,,
Bamboozled,,left_only,,
Barbie,,left_only,,
Barry Lyndon,Barry Lyndon,both,,
Barton Fink,Barton Fink,both,,
Basic,Basic,both,,
Basic Instinct,Basic Instinct,both,,
Basquiat,,left_only,,
Batman,Batman,both,,
Batman 2,,left_only,,
Batman Begins,Batman Begins,both,Batman Begins,"Webstatus : 404
"
Batman Forever,Batman Forever,both,Batman Forever,"Webstatus : 404
"
Batman Returns,Batman Returns,both,Batman Returns,"Webstatus : 404
"
Batman and Robin,,left_only,Batman and Robin,"Webstatus : 404
"
Battle: Los Angeles,,left_only,,
Bean,,left_only,,
Beasts of No Nation,,left_only,,
Beasts of the Southern Wild,,left_only,,
Beauty and the Beast,,left_only,,
Beavis and Butt-head Do America,Beavis and Butt-head Do America,both,,
Beginners,,left_only,,
Being Human,Being Human,both,,
Being John Malkovich,Being John Malkovich,both,,
Being There,Being There,both,,
Being the Ricardos,,left_only,,
Belle,Belle,both,,
Beloved,Beloved,both,,
Benny & Joon,,left_only,Benny & Joon,HTML len = 0 : no content scrapped
Big,,left_only,,
Big Eyes,Big Eyes,both,,
Big Fish,,left_only,,
Birdman,Birdman,both,,
Birthday Girl,Birthday Girl,both,,
BlacKkKlansman,,left_only,,
Black Panther,,left_only,,
Black Rain,Black Rain,both,,
Black Snake Moan,Black Snake Moan,both,,
Black Swan,,left_only,,
Blackberry,,left_only,,
Blade,Blade,both,,
Blade II,Blade II,both,,
Blade Runner,Blade Runner,both,,
Blade: Trinity,,left_only,,
Blink Twice,,left_only,,
Blitz,,left_only,,
Blood Simple,Blood Simple,both,,
Blood and Wine,,left_only,,
Blow,Blow,both,,
Blue Valentine,,left_only,,
Blue Velvet,Blue Velvet,both,,
"Bodies, Rest & Motion","Bodies, Rest & Motion",both,"Bodies, Rest & Motion",HTML len = 0 : no content scrapped
Body Heat,Body Heat,both,,
Body of Evidence,Body of Evidence,both,,
Bodyguard,,left_only,,
Bones,Bones,both,,
