movie_name_script_slug_conventioned,movie_name_imsdb_conventioned,_merge_imsdb_scriptslug,movie_name_conventioned,movie_name_dailyscripts_conventioned,_merge_main_dailyscripts
(500) Days Of Summer,,left_only,(500) Days Of Summer,,left_only
10 Things I Hate About You,10 Things I Hate About You,both,10 Things I Hate About You,10 Things I Hate About You,both
,,,,10000 B C ,right_only
101 Dalmations,,left_only,101 Dalmations,,left_only
,12,right_only,12,,left_only
,12 And Holding,right_only,12 And Holding,12 And Holding,both
12 Angry Men,,left_only,12 Angry Men,12 Angry Men,both
,12 Monkeys,right_only,12 Monkeys,12 Monkeys,both
12 Strong,,left_only,12 Strong,,left_only
12 Years A Slave,12 Years A Slave,both,12 Years A Slave,12 Years A Slave,both
127 Hours,127 Hours,both,127 Hours,,left_only
,,,,13 Days,right_only
,,,,13 Ghosts,right_only
1408,,left_only,1408,,left_only
,1492 Conquest Of Paradise,right_only,1492 Conquest Of Paradise,1492 Conquest Of Paradise,both
,15 Minutes,right_only,15 Minutes,15 Minutes,both
,,,,15 Minutes ,right_only
16 Blocks,,left_only,16 Blocks,16 Blocks,both
,17 Again,right_only,17 Again,,left_only
,187,right_only,187,,left_only
1917,,left_only,1917,,left_only
2 Fast 2 Furious,,left_only,2 Fast 2 Furious,,left_only
2001 A Space Odyssey,2001 A Space Odyssey,both,2001 A Space Odyssey,2001 A Space Odyssey,both
2010 The Year We Make Contact,,left_only,2010 The Year We Make Contact,,left_only
,2012,right_only,2012,,left_only
20th Century Girl,,left_only,20th Century Girl,,left_only
,,,,20th Century Woman,right_only
20th Century Women,20th Century Women,both,20th Century Women,,left_only
21 Jump Street,,left_only,21 Jump Street,,left_only
213,,left_only,213,,left_only
22 July,,left_only,22 July,,left_only
22 Jump Street,,left_only,22 Jump Street,,left_only
,25th Hour,right_only,25th Hour,25th Hour,both
28 Days Later,28 Days Later,both,28 Days Later,,left_only
28 Weeks Later,,left_only,28 Weeks Later,,left_only
,,,,3 Kings,right_only
,,,,3 Kings (spoils Of War),right_only
,30 Minutes Or Less,right_only,30 Minutes Or Less,,left_only
300,,left_only,300,,left_only
,,,,40 Year Old Virgin,right_only
,42,right_only,42,,left_only
,44 Inch Chest,right_only,44 Inch Chest,,left_only
,,,,48 Hours,right_only
48 Hrs,48 Hrs,both,48 Hrs,,left_only
5 To 7,,left_only,5 To 7,,left_only
,50 50,right_only,50 50,,left_only
