name,name_conventioned,movie_name,movie_url,movie_url_extension,movie_name_conventioned,_merge,name_error,error,name_conventioned_error
10 Things I Hate About You,10 Things I Hate About You,10 Things I Hate About You,https://www.dailyscript.com/scripts/10Things.html,html,10 Things I Hate About You,both,,,
12,12,,,,,left_only,,,
12 and Holding,12 And Holding,12 And Holding,https://www.dailyscript.com/scripts/12+and+Holding.pdf,pdf,12 And Holding,both,,,
12 Monkeys,12 Monkeys,12 Monkeys,https://www.dailyscript.com/scripts/twelve_monkeys.html,html,12 Monkeys,both,,,
12 Years a Slave,12 Years A Slave,12 Years a Slave,https://www.dailyscript.com/scripts/12_Years_A_Slave.pdf,pdf,12 Years A Slave,both,,,
127 Hours,127 Hours,,,,,left_only,,,
1492: Conquest of Paradise,1492 Conquest Of Paradise,1492: Conquest of Paradise:,https://www.dailyscript.com/scripts/1492_conquest.html,html,1492 Conquest Of Paradise,both,,,
15 Minutes,15 Minutes,15 Minutes,https://www.dailyscript.com/scripts/15minutes.html,html,15 Minutes,both,,,
17 Again,17 Again,,,,,left_only,,,
187,187,,,,,left_only,,,
2001: A Space Odyssey,2001 A Space Odyssey,2001: A Space Odyssey,https://www.dailyscript.com/scripts/2001.html,html,2001 A Space Odyssey,both,,,
2012,2012,,,,,left_only,,,
20th Century Women,20th Century Women,,,,,left_only,,,
25th Hour,25th Hour,25th Hour,https://www.dailyscript.com/scripts/25thhour_all.pdf,pdf,25th Hour,both,,,
28 Days Later,28 Days Later,,,,,left_only,,,
30 Minutes or Less,30 Minutes Or Less,,,,,left_only,,,
42,42,,,,,left_only,,,
44 Inch Chest,44 Inch Chest,,,,,left_only,,,
48 Hrs.,48 Hrs,,,,,left_only,,,
50-50,50 50,,,,,left_only,,,
500 Days of Summer,500 Days Of Summer,,,,,left_only,,,
8 Mile,8 Mile,,,,,left_only,8 Mile,HTML len = 0 : no content scrapped,8 Mile
8MM,8mm,,,,,left_only,,,
9,9,,,,,left_only,,,
A Few Good Men,A Few Good Men,,,,,left_only,,,
A Good Person,A Good Person,,,,,left_only,,,
A Million Miles Away,A Million Miles Away,,,,,left_only,,,
A Most Violent Year,A Most Violent Year,A Most Violent Year,https://www.dailyscript.com/scripts/AMVY+Script.pdf,pdf,A Most Violent Year,both,,,
A Prayer Before Dawn,A Prayer Before Dawn,,,,,left_only,,,
A Quiet Place,A Quiet Place,,,,,left_only,,,
A Real Pain,A Real Pain,,,,,left_only,,,
A Scanner Darkly,A Scanner Darkly,,,,,left_only,,,
A Serious Man,A Serious Man,,,,,left_only,,,
Above the Law,Above The Law,Above the Law,https://www.dailyscript.com/scripts/Above_the_Law.pdf,pdf,Above The Law,both,,,
Absolute Power,Absolute Power,Absolute Power,https://www.dailyscript.com/scripts/Absolute_Power.PDF,pdf,Absolute Power,both,,,
Ace Ventura: Pet Detective,Ace Ventura Pet Detective,Ace Ventura: Pet Detective,https://www.dailyscript.com/scripts/ace_ventura_shoot.html,html,Ace Ventura Pet Detective,both,,,
Ad Astra,Ad Astra,,,,,left_only,,,
Adaptation,Adaptation,Adaptation,https://www.dailyscript.com/scripts/adaptation.pdf,pdf,Adaptation,both,,,
Affliction,Affliction,Affliction,https://www.dailyscript.com/scripts/Affliction.txt,txt,Affliction,both,,,
After School Special,After School Special,,,,,left_only,,,
After.Life,Afterlife,,,,,left_only,,,
Agnes of God,Agnes Of God,,,,,left_only,,,
A.I.,Ai,,,,,left_only,A.I.,"Webstatus : 404
",Ai
Air,Air,,,,,left_only,,,
Air Force One,Air Force One,,,,,left_only,,,
Airplane,Airplane,Airplane!,https://www.dailyscript.com/scripts/Airplane_script.htm,htm,Airplane,both,,,
Airplane 2: The Sequel,Airplane 2 The Sequel,Airplane II: The Sequel,https://www.dailyscript.com/scripts/Airplane2_script.htm,htm,Airplane 2 The Sequel,both,,,
Aladdin,Aladdin,,,,,left_only,,,
Ali,Ali,Ali,https://www.dailyscript.com/scripts/Ali.pdf,pdf,Ali,both,,,
Alien,Alien,Alien,https://www.dailyscript.com/scripts/alien_early.html,html,Alien,both,,,
Alien 3,Alien 3,,,,,left_only,,,
Alien Nation,Alien Nation,Alien Nation,https://www.dailyscript.com/scripts/Alien_Nation_Bannon_Cameron_October_1987.html,html,Alien Nation,both,,,
Alien: Resurrection,Alien Resurrection,,,,,left_only,,,
Alien vs. Predator,Alien Vs Predator,,,,,left_only,,,
Aliens,Aliens,Aliens,https://www.dailyscript.com/scripts/Aliens_James_Cameron_May_28_1985_first_draft.html,html,Aliens,both,,,
All About Eve,All About Eve,All About Eve,https://www.dailyscript.com/scripts/All%20About%20Eve.txt,txt,All About Eve,both,,,
All About Steve,All About Steve,,,,,left_only,,,
All of Us Strangers,All Of Us Strangers,,,,,left_only,,,
