name,pacal_case_name,movie_name,movie_url,movie_url_extension,pacal_case_movie_name,_merge,name_error,error,pacal_case_name_error
10 Things I Hate About You,10thingsihateaboutyou,10 Things I Hate About You,https://www.dailyscript.com/scripts/10Things.html,html,10thingsihateaboutyou,both,,,
12,12,,,,,left_only,,,
127 Hours,127hours,,,,,left_only,,,
12 and Holding,12andholding,12 And Holding,https://www.dailyscript.com/scripts/12+and+Holding.pdf,pdf,12andholding,both,,,
12 Monkeys,12monkeys,12 Monkeys,https://www.dailyscript.com/scripts/twelve_monkeys.html,html,12monkeys,both,,,
12 Years a Slave,12yearsaslave,12 Years a Slave,https://www.dailyscript.com/scripts/12_Years_A_Slave.pdf,pdf,12yearsaslave,both,,,
1492: Conquest of Paradise,1492conquestofparadise,1492: Conquest of Paradise:,https://www.dailyscript.com/scripts/1492_conquest.html,html,1492conquestofparadise,both,,,
15 Minutes,15minutes,15 Minutes,https://www.dailyscript.com/scripts/15minutes.html,html,15minutes,both,,,
15 Minutes,15minutes,15 Minutes ,https://www.dailyscript.com/scripts/15minutes.html,html,15minutes,both,,,
17 Again,17again,,,,,left_only,,,
187,187,,,,,left_only,,,
2001: A Space Odyssey,2001aspaceodyssey,2001: A Space Odyssey,https://www.dailyscript.com/scripts/2001.html,html,2001aspaceodyssey,both,,,
2012,2012,,,,,left_only,,,
20th Century Women,20thcenturywomen,,,,,left_only,,,
25th Hour,25thhour,25th Hour,https://www.dailyscript.com/scripts/25thhour_all.pdf,pdf,25thhour,both,,,
28 Days Later,28dayslater,,,,,left_only,,,
30 Minutes or Less,30minutesorless,,,,,left_only,,,
42,42,,,,,left_only,,,
44 Inch Chest,44inchchest,,,,,left_only,,,
48 Hrs.,48hrs,,,,,left_only,,,
500 Days of Summer,500daysofsummer,,,,,left_only,,,
50-50,5050,,,,,left_only,,,
8 Mile,8mile,,,,,left_only,8 Mile,HTML len = 0 : no content scrapped,8mile
8MM,8mm,8 MM,https://www.dailyscript.com/scripts/eight-millimeter.html,html,8mm,both,,,
9,9,,,,,left_only,,,
Above the Law,abovethelaw,Above the Law,https://www.dailyscript.com/scripts/Above_the_Law.pdf,pdf,abovethelaw,both,,,
Absolute Power,absolutepower,Absolute Power,https://www.dailyscript.com/scripts/Absolute_Power.PDF,pdf,absolutepower,both,,,
Ace Ventura: Pet Detective,aceventurapetdetective,Ace Ventura: Pet Detective,https://www.dailyscript.com/scripts/ace_ventura_shoot.html,html,aceventurapetdetective,both,,,
Adaptation,adaptation,Adaptation,https://www.dailyscript.com/scripts/adaptation.pdf,pdf,adaptation,both,,,
Ad Astra,adastra,,,,,left_only,,,
A Few Good Men,afewgoodmen,,,,,left_only,,,
Affliction,affliction,Affliction,https://www.dailyscript.com/scripts/Affliction.txt,txt,affliction,both,,,
After.Life,afterlife,,,,,left_only,,,
After School Special,afterschoolspecial,,,,,left_only,,,
Agnes of God,agnesofgod,,,,,left_only,,,
A Good Person,agoodperson,,,,,left_only,,,
A.I.,ai,,,,,left_only,A.I.,"Webstatus : 404
",ai
Air,air,,,,,left_only,,,
Air Force One,airforceone,Airforce One,https://www.dailyscript.com/scripts/AirForceOne_TXT.html,html,airforceone,both,,,
Airplane,airplane,Airplane!,https://www.dailyscript.com/scripts/Airplane_script.htm,htm,airplane,both,,,
Airplane 2: The Sequel,airplane2thesequel,Airplane II: The Sequel,https://www.dailyscript.com/scripts/Airplane2_script.htm,htm,airplane2thesequel,both,,,
Aladdin,aladdin,,,,,left_only,,,
Ali,ali,Ali,https://www.dailyscript.com/scripts/Ali.pdf,pdf,ali,both,,,
Alien,alien,Alien,https://www.dailyscript.com/scripts/alien_early.html,html,alien,both,,,
Alien 3,alien3,,,,,left_only,,,
Alien Nation,aliennation,Alien Nation,https://www.dailyscript.com/scripts/Alien_Nation_Bannon_Cameron_October_1987.html,html,aliennation,both,,,
Alien: Resurrection,alienresurrection,,,,,left_only,,,
Aliens,aliens,Aliens,https://www.dailyscript.com/scripts/Aliens_James_Cameron_May_28_1985_first_draft.html,html,aliens,both,,,
Alien vs. Predator,alienvspredator,,,,,left_only,,,
All About Eve,allabouteve,All About Eve,https://www.dailyscript.com/scripts/All%20About%20Eve.txt,txt,allabouteve,both,,,
All About Steve,allaboutsteve,,,,,left_only,,,
All of Us Strangers,allofusstrangers,,,,,left_only,,,
All the King's Men,allthekingsmen,All The King's Men,https://www.dailyscript.com/scripts/All%20The%20King%27s%20Men%20(1949).txt,txt,allthekingsmen,both,,,
All the President's Men,allthepresidentsmen,All The President's Men,https://www.dailyscript.com/scripts/All%20The%20President's%20Men.txt,txt,allthepresidentsmen,both,,,
Almost Famous,almostfamous,Almost Famous,https://www.dailyscript.com/scripts/Almost%20Famous.txt,txt,almostfamous,both,,,
Alone in the Dark,aloneinthedark,,,,,left_only,,,
