pdf_url,movie_name_script_slug_conventioned,movie_name_imsdb_conventioned,full_url_imsdb,_merge_imsdb_scriptslug,movie_name_conventioned,movie_name_imsdb_error,error,movie_name_imsdb_conventioned_error,movie_name,movie_url,movie_url_extension,movie_name_dailyscripts_conventioned,_merge_main_dailyscripts
https://assets.scriptslug.com/live/pdf/scripts/500-days-of-summer-2009.pdf?v=1729114850,(500) Days Of Summer,,,left_only,(500) Days Of Summer,,,,,,,,left_only
https://assets.scriptslug.com/live/pdf/scripts/10-things-i-hate-about-you-1999.pdf?v=1729114847,10 Things I Hate About You,10 Things I Hate About You,https://imsdb.com//scripts//10-Things-I-Hate-About-You.html,both,10 Things I Hate About You,,,,10 Things I Hate About You,https://www.dailyscript.com/scripts/10Things.html,html,10 Things I Hate About You,both
,,,,,,,,,"10,000 B. C. ","https://www.dailyscript.com/scripts/10,000BC.pdf",pdf,10000 B C ,right_only
https://assets.scriptslug.com/live/pdf/scripts/101-dalmations-1996.pdf?v=1729114847,101 Dalmations,,,left_only,101 Dalmations,,,,,,,,left_only
,,12,https://imsdb.com//scripts//12.html,right_only,12,,,,,,,,left_only
,,12 And Holding,https://imsdb.com//scripts//12-and-Holding.html,right_only,12 And Holding,,,,12 And Holding,https://www.dailyscript.com/scripts/12+and+Holding.pdf,pdf,12 And Holding,both
https://assets.scriptslug.com/live/pdf/scripts/12-angry-men-1957.pdf?v=1729114847,12 Angry Men,,,left_only,12 Angry Men,,,,12 Angry Men,https://www.dailyscript.com/scripts/12AngryMen.pdf,pdf,12 Angry Men,both
,,12 Monkeys,https://imsdb.com//scripts//12-Monkeys.html,right_only,12 Monkeys,,,,12 Monkeys,https://www.dailyscript.com/scripts/twelve_monkeys.html,html,12 Monkeys,both
https://assets.scriptslug.com/live/pdf/scripts/12-strong-2018.pdf?v=1729114847,12 Strong,,,left_only,12 Strong,,,,,,,,left_only
https://assets.scriptslug.com/live/pdf/scripts/12-years-a-slave-2013.pdf?v=1729114848,12 Years A Slave,12 Years A Slave,https://imsdb.com//scripts//12-Years-a-Slave.html,both,12 Years A Slave,,,,12 Years a Slave,https://www.dailyscript.com/scripts/12_Years_A_Slave.pdf,pdf,12 Years A Slave,both
https://assets.scriptslug.com/live/pdf/scripts/127-hours-2010.pdf?v=1729114848,127 Hours,127 Hours,https://imsdb.com//scripts//127-Hours.html,both,127 Hours,,,,,,,,left_only
,,,,,,,,,13 Days,https://www.dailyscript.com/scripts/13_days.html,html,13 Days,right_only
,,,,,,,,,13 Ghosts,https://www.dailyscript.com/scripts/thirteen_ghosts.pdf,pdf,13 Ghosts,right_only
https://assets.scriptslug.com/live/pdf/scripts/1408-2007.pdf?v=1729114848,1408,,,left_only,1408,,,,,,,,left_only
,,1492 Conquest Of Paradise,https://imsdb.com//scripts//1492-Conquest-of-Paradise.html,right_only,1492 Conquest Of Paradise,,,,1492: Conquest of Paradise:,https://www.dailyscript.com/scripts/1492_conquest.html,html,1492 Conquest Of Paradise,both
,,15 Minutes,https://imsdb.com//scripts//15-Minutes.html,right_only,15 Minutes,,,,15 Minutes,https://www.dailyscript.com/scripts/15minutes.html,html,15 Minutes,both
,,,,,,,,,15 Minutes ,https://www.dailyscript.com/scripts/15minutes.html,html,15 Minutes ,right_only
https://assets.scriptslug.com/live/pdf/scripts/16-blocks-2006.pdf?v=1729114848,16 Blocks,,,left_only,16 Blocks,,,,16 Blocks,https://www.dailyscript.com/scripts/16_Blocks_by_Richard_Wenk.pdf,pdf,16 Blocks,both
,,17 Again,https://imsdb.com//scripts//17-Again.html,right_only,17 Again,,,,,,,,left_only
,,187,https://imsdb.com//scripts//187.html,right_only,187,,,,,,,,left_only
https://assets.scriptslug.com/live/pdf/scripts/1917-2019.pdf?v=1729114848,1917,,,left_only,1917,,,,,,,,left_only
https://assets.scriptslug.com/live/pdf/scripts/2-fast-2-furious-2003.pdf?v=1729114848,2 Fast 2 Furious,,,left_only,2 Fast 2 Furious,,,,,,,,left_only
https://assets.scriptslug.com/live/pdf/scripts/2001-a-space-odyssey-1968.pdf?v=1729114848,2001 A Space Odyssey,2001 A Space Odyssey,https://imsdb.com//scripts//2001-A-Space-Odyssey.html,both,2001 A Space Odyssey,,,,2001: A Space Odyssey,https://www.dailyscript.com/scripts/2001.html,html,2001 A Space Odyssey,both
https://assets.scriptslug.com/live/pdf/scripts/2010-the-year-we-make-contact-1984.pdf?v=1729114849,2010 The Year We Make Contact,,,left_only,2010 The Year We Make Contact,,,,,,,,left_only
,,2012,https://imsdb.com//scripts//2012.html,right_only,2012,,,,,,,,left_only
https://assets.scriptslug.com/live/pdf/scripts/20th-century-girl-2022.pdf?v=1729114849,20th Century Girl,,,left_only,20th Century Girl,,,,,,,,left_only
,,,,,,,,,20th Century Woman,https://www.dailyscript.com/scripts/20TH_CENTURY_WOMEN.pdf,pdf,20th Century Woman,right_only
https://assets.scriptslug.com/live/pdf/scripts/20th-century-women-2016.pdf?v=1729114849,20th Century Women,20th Century Women,https://imsdb.com//scripts//20th-Century-Women.html,both,20th Century Women,,,,,,,,left_only
https://assets.scriptslug.com/live/pdf/scripts/21-jump-street-2012.pdf?v=1729114849,21 Jump Street,,,left_only,21 Jump Street,,,,,,,,left_only
https://assets.scriptslug.com/live/pdf/scripts/2-13-2009.pdf?v=1729114848,213,,,left_only,213,,,,,,,,left_only
https://assets.scriptslug.com/live/pdf/scripts/22-july-2018.pdf?v=1729114849,22 July,,,left_only,22 July,,,,,,,,left_only
https://assets.scriptslug.com/live/pdf/scripts/22-jump-street-2014.pdf?v=1729114849,22 Jump Street,,,left_only,22 Jump Street,,,,,,,,left_only
,,25th Hour,https://imsdb.com//scripts//25th-Hour.html,right_only,25th Hour,,,,25th Hour,https://www.dailyscript.com/scripts/25thhour_all.pdf,pdf,25th Hour,both
https://assets.scriptslug.com/live/pdf/scripts/28-days-later-2002.pdf?v=1729114849,28 Days Later,28 Days Later,https://imsdb.com//scripts//28-Days-Later.html,both,28 Days Later,,,,,,,,left_only
https://assets.scriptslug.com/live/pdf/scripts/28-weeks-later-2007.pdf?v=1729114849,28 Weeks Later,,,left_only,28 Weeks Later,,,,,,,,left_only
,,,,,,,,,3 Kings,https://www.dailyscript.com/scripts/three-kings_shooting.html,html,3 Kings,right_only
,,,,,,,,,3 Kings (Spoils of War),https://www.dailyscript.com/scripts/three-kings_unproduced.html,html,3 Kings (spoils Of War),right_only
,,30 Minutes Or Less,https://imsdb.com//scripts//30-Minutes-or-Less.html,right_only,30 Minutes Or Less,,,,,,,,left_only
https://assets.scriptslug.com/live/pdf/scripts/300-2006.pdf?v=1729114849,300,,,left_only,300,,,,,,,,left_only
,,,,,,,,,40 Year Old Virgin,https://www.dailyscript.com/scripts/40_year_old_virgin.pdf,pdf,40 Year Old Virgin,right_only
,,42,https://imsdb.com//scripts//42.html,right_only,42,,,,,,,,left_only
,,44 Inch Chest,https://imsdb.com//scripts//44-Inch-Chest.html,right_only,44 Inch Chest,,,,,,,,left_only
,,,,,,,,,48 Hours,https://www.dailyscript.com/scripts/48hours.html,html,48 Hours,right_only
https://assets.scriptslug.com/live/pdf/scripts/48-hrs-1982.pdf?v=1729114850,48 Hrs,48 Hrs,https://imsdb.com//scripts//48-Hrs..html,both,48 Hrs,,,,,,,,left_only
https://assets.scriptslug.com/live/pdf/scripts/5-to-7-2014.pdf?v=1729114850,5 To 7,,,left_only,5 To 7,,,,,,,,left_only
,,50 50,https://imsdb.com//scripts//50-50.html,right_only,50 50,,,,,,,,left_only
,,500 Days Of Summer,https://imsdb.com//scripts//500-Days-of-Summer.html,right_only,500 Days Of Summer,,,,,,,,left_only
,,,,,,,,,531,https://www.dailyscript.com/scripts/531.doc,doc,531,right_only
https://assets.scriptslug.com/live/pdf/scripts/8-bit-christmas-2021.pdf?v=1729114850,8 Bit Christmas,,,left_only,8 Bit Christmas,,,,,,,,left_only
https://assets.scriptslug.com/live/pdf/scripts/8-mile-2002.pdf?v=1729114850,8 Mile,8 Mile,https://imsdb.com//scripts//8-Mile.html,both,8 Mile,8 Mile,HTML len = 0 : no content scrapped,8 Mile,,,,,left_only
,,,,,,,,,8 Mile (aka Untitled Detroit Project),https://www.dailyscript.com/scripts/8MILE.pdf,pdf,8 Mile (aka Untitled Detroit Project),right_only
,,,,,,,,,8 Millimeter,https://www.dailyscript.com/scripts/eight-millimeter.html,html,8 Millimeter,right_only
,,,,,,,,,8 MM,https://www.dailyscript.com/scripts/eight-millimeter.html,html,8 Mm,right_only
,,,,,,,,,84 Charlie MoPic,https://www.dailyscript.com/scripts/84%20Charlie%20MoPic.txt,txt,84 Charlie Mopic,right_only
,,8mm,https://imsdb.com//scripts//8MM.html,right_only,8mm,,,,,,,,left_only
https://assets.scriptslug.com/live/pdf/scripts/8-1-2-1963.pdf?v=1729114850,8½,,,left_only,8½,,,,,,,,left_only
,,9,https://imsdb.com//scripts//9.html,right_only,9,,,,,,,,left_only
https://assets.scriptslug.com/live/pdf/scripts/a-beautiful-day-in-the-neighborhood-2019.pdf?v=1729114850,A Beautiful Day In The Neighborhood,,,left_only,A Beautiful Day In The Neighborhood,,,,,,,,left_only
https://assets.scriptslug.com/live/pdf/scripts/a-beautiful-mind-2001.pdf?v=1729114850,A Beautiful Mind,,,left_only,A Beautiful Mind,,,,,,,,left_only
https://assets.scriptslug.com/live/pdf/scripts/a-christmas-story-1983.pdf?v=1729114851,A Christmas Story,,,left_only,A Christmas Story,,,,A Christmas Story,https://www.dailyscript.com/scripts/AChristmasStory.pdf,pdf,A Christmas Story,both
https://assets.scriptslug.com/live/pdf/scripts/a-clockwork-orange-1971.pdf?v=1729114851,A Clockwork Orange,,,left_only,A Clockwork Orange,,,,A Clockwork Orange,https://www.dailyscript.com/scripts/A+Clockwork+Orange.pdf,pdf,A Clockwork Orange,both
https://assets.scriptslug.com/live/pdf/scripts/a-complete-unknown-2024.pdf?v=1738463523,A Complete Unknown,,,left_only,A Complete Unknown,,,,,,,,left_only
,,,,,,,,,A Dry White Season,https://www.dailyscript.com/scripts/Dry_White_Season.pdf,pdf,A Dry White Season,right_only
https://assets.scriptslug.com/live/pdf/scripts/a-fantastic-woman-2017.pdf?v=1729114851,A Fantastic Woman,,,left_only,A Fantastic Woman,,,,,,,,left_only
https://assets.scriptslug.com/live/pdf/scripts/a-few-good-men-1992.pdf?v=1729114851,A Few Good Men,A Few Good Men,https://imsdb.com//scripts//A-Few-Good-Men.html,both,A Few Good Men,,,,,,,,left_only
https://assets.scriptslug.com/live/pdf/scripts/a-good-person-2023.pdf?v=1729114851,A Good Person,A Good Person,https://imsdb.com//scripts//A-Good-Person.html,both,A Good Person,,,,,,,,left_only
,,,,,,,,,A Good Year,https://www.dailyscript.com/scripts/A-GOOD-YEAR.pdf,pdf,A Good Year,right_only
,,,,,,,,,A Hard Day's Night,"https://www.dailyscript.com/scripts/Hard+Day's+Night,+A.txt",txt,A Hard Days Night,right_only
https://assets.scriptslug.com/live/pdf/scripts/a-haunting-in-venice-2023.pdf?v=1729114851,A Haunting In Venice,,,left_only,A Haunting In Venice,,,,,,,,left_only
https://assets.scriptslug.com/live/pdf/scripts/a-hero-2021.pdf?v=1729114851,A Hero,,,left_only,A Hero,,,,,,,,left_only
https://assets.scriptslug.com/live/pdf/scripts/a-hidden-life-2019.pdf?v=1729114851,A Hidden Life,,,left_only,A Hidden Life,,,,,,,,left_only
https://assets.scriptslug.com/live/pdf/scripts/a-history-of-violence-2005.pdf?v=1729114851,A History Of Violence,,,left_only,A History Of Violence,,,,,,,,left_only
https://assets.scriptslug.com/live/pdf/scripts/a-knights-tale-2001.pdf?v=1729114852,A Knights Tale,,,left_only,A Knights Tale,,,,,,,,left_only
https://assets.scriptslug.com/live/pdf/scripts/a-knock-at-the-cabin-2023.pdf?v=1729114852,A Knock At The Cabin,,,left_only,A Knock At The Cabin,,,,,,,,left_only
,,,,,,,,,A Last Kiss (filmed as The Last Kiss),https://www.dailyscript.com/scripts/A-Last-Kiss-script.pdf,pdf,A Last Kiss (filmed As The Last Kiss),right_only
https://assets.scriptslug.com/live/pdf/scripts/a-league-of-their-own-1992.pdf?v=1729114852,A League Of Their Own,,,left_only,A League Of Their Own,,,,,,,,left_only
https://assets.scriptslug.com/live/pdf/scripts/a-man-called-otto-2022.pdf?v=1729114852,A Man Called Otto,,,left_only,A Man Called Otto,,,,,,,,left_only
