movie_name_conventioned,scrapping_url,scrapping_url_extension
(500) Days Of Summer,https://assets.scriptslug.com/live/pdf/scripts/500-days-of-summer-2009.pdf?v=1729114850,pdf
10 Things I Hate About You,https://assets.scriptslug.com/live/pdf/scripts/10-things-i-hate-about-you-1999.pdf?v=1729114847,pdf
101 Dalmations,https://assets.scriptslug.com/live/pdf/scripts/101-dalmations-1996.pdf?v=1729114847,pdf
12,https://imsdb.com//scripts//12.html,html
12 And Holding,https://imsdb.com//scripts//12-and-Holding.html,html
12 Angry Men,https://assets.scriptslug.com/live/pdf/scripts/12-angry-men-1957.pdf?v=1729114847,pdf
12 Monkeys,https://imsdb.com//scripts//12-Monkeys.html,html
12 Strong,https://assets.scriptslug.com/live/pdf/scripts/12-strong-2018.pdf?v=1729114847,pdf
12 Years A Slave,https://assets.scriptslug.com/live/pdf/scripts/12-years-a-slave-2013.pdf?v=1729114848,pdf
127 Hours,https://assets.scriptslug.com/live/pdf/scripts/127-hours-2010.pdf?v=1729114848,pdf
1408,https://assets.scriptslug.com/live/pdf/scripts/1408-2007.pdf?v=1729114848,pdf
1492 Conquest Of Paradise,https://imsdb.com//scripts//1492-Conquest-of-Paradise.html,html
15 Minutes,https://imsdb.com//scripts//15-Minutes.html,html
16 Blocks,https://assets.scriptslug.com/live/pdf/scripts/16-blocks-2006.pdf?v=1729114848,pdf
17 Again,https://imsdb.com//scripts//17-Again.html,html
187,https://imsdb.com//scripts//187.html,html
1917,https://assets.scriptslug.com/live/pdf/scripts/1917-2019.pdf?v=1729114848,pdf
2 Fast 2 Furious,https://assets.scriptslug.com/live/pdf/scripts/2-fast-2-furious-2003.pdf?v=1729114848,pdf
2001 A Space Odyssey,https://assets.scriptslug.com/live/pdf/scripts/2001-a-space-odyssey-1968.pdf?v=1729114848,pdf
2010 The Year We Make Contact,https://assets.scriptslug.com/live/pdf/scripts/2010-the-year-we-make-contact-1984.pdf?v=1729114849,pdf
2012,https://imsdb.com//scripts//2012.html,html
20th Century Girl,https://assets.scriptslug.com/live/pdf/scripts/20th-century-girl-2022.pdf?v=1729114849,pdf
20th Century Women,https://assets.scriptslug.com/live/pdf/scripts/20th-century-women-2016.pdf?v=1729114849,pdf
21 Jump Street,https://assets.scriptslug.com/live/pdf/scripts/21-jump-street-2012.pdf?v=1729114849,pdf
213,https://assets.scriptslug.com/live/pdf/scripts/2-13-2009.pdf?v=1729114848,pdf
22 July,https://assets.scriptslug.com/live/pdf/scripts/22-july-2018.pdf?v=1729114849,pdf
22 Jump Street,https://assets.scriptslug.com/live/pdf/scripts/22-jump-street-2014.pdf?v=1729114849,pdf
25th Hour,https://imsdb.com//scripts//25th-Hour.html,html
28 Days Later,https://assets.scriptslug.com/live/pdf/scripts/28-days-later-2002.pdf?v=1729114849,pdf
28 Weeks Later,https://assets.scriptslug.com/live/pdf/scripts/28-weeks-later-2007.pdf?v=1729114849,pdf
30 Minutes Or Less,https://imsdb.com//scripts//30-Minutes-or-Less.html,html
300,https://assets.scriptslug.com/live/pdf/scripts/300-2006.pdf?v=1729114849,pdf
42,https://imsdb.com//scripts//42.html,html
44 Inch Chest,https://imsdb.com//scripts//44-Inch-Chest.html,html
48 Hrs,https://assets.scriptslug.com/live/pdf/scripts/48-hrs-1982.pdf?v=1729114850,pdf
5 To 7,https://assets.scriptslug.com/live/pdf/scripts/5-to-7-2014.pdf?v=1729114850,pdf
50 50,https://imsdb.com//scripts//50-50.html,html
500 Days Of Summer,https://imsdb.com//scripts//500-Days-of-Summer.html,html
8 Bit Christmas,https://assets.scriptslug.com/live/pdf/scripts/8-bit-christmas-2021.pdf?v=1729114850,pdf
8 Mile,https://assets.scriptslug.com/live/pdf/scripts/8-mile-2002.pdf?v=1729114850,pdf
8mm,https://imsdb.com//scripts//8MM.html,html
8½,https://assets.scriptslug.com/live/pdf/scripts/8-1-2-1963.pdf?v=1729114850,pdf
9,https://imsdb.com//scripts//9.html,html
A Beautiful Day In The Neighborhood,https://assets.scriptslug.com/live/pdf/scripts/a-beautiful-day-in-the-neighborhood-2019.pdf?v=1729114850,pdf
