pdf_url,movie_name_script_slug_conventioned,movie_name_imsdb_conventioned,full_url_imsdb,_merge_imsdb_scriptslug,movie_name_conventioned,movie_name_imsdb_error,error,movie_name_imsdb_conventioned_error,scrapping_url,scrapping_url_extension
https://assets.scriptslug.com/live/pdf/scripts/500-days-of-summer-2009.pdf?v=1729114850,(500) Days Of Summer,,,left_only,(500) Days Of Summer,,,,https://assets.scriptslug.com/live/pdf/scripts/500-days-of-summer-2009.pdf?v=1729114850,pdf
https://assets.scriptslug.com/live/pdf/scripts/10-things-i-hate-about-you-1999.pdf?v=1729114847,10 Things I Hate About You,10 Things I Hate About You,https://imsdb.com//scripts//10-Things-I-Hate-About-You.html,both,10 Things I Hate About You,,,,https://assets.scriptslug.com/live/pdf/scripts/10-things-i-hate-about-you-1999.pdf?v=1729114847,pdf
https://assets.scriptslug.com/live/pdf/scripts/101-dalmations-1996.pdf?v=1729114847,101 Dalmations,,,left_only,101 Dalmations,,,,https://assets.scriptslug.com/live/pdf/scripts/101-dalmations-1996.pdf?v=1729114847,pdf
,,12,https://imsdb.com//scripts//12.html,right_only,12,,,,https://imsdb.com//scripts//12.html,html
,,12 And Holding,https://imsdb.com//scripts//12-and-Holding.html,right_only,12 And Holding,,,,https://imsdb.com//scripts//12-and-Holding.html,html
https://assets.scriptslug.com/live/pdf/scripts/12-angry-men-1957.pdf?v=1729114847,12 Angry Men,,,left_only,12 Angry Men,,,,https://assets.scriptslug.com/live/pdf/scripts/12-angry-men-1957.pdf?v=1729114847,pdf
,,12 Monkeys,https://imsdb.com//scripts//12-Monkeys.html,right_only,12 Monkeys,,,,https://imsdb.com//scripts//12-Monkeys.html,html
https://assets.scriptslug.com/live/pdf/scripts/12-strong-2018.pdf?v=1729114847,12 Strong,,,left_only,12 Strong,,,,https://assets.scriptslug.com/live/pdf/scripts/12-strong-2018.pdf?v=1729114847,pdf
https://assets.scriptslug.com/live/pdf/scripts/12-years-a-slave-2013.pdf?v=1729114848,12 Years A Slave,12 Years A Slave,https://imsdb.com//scripts//12-Years-a-Slave.html,both,12 Years A Slave,,,,https://assets.scriptslug.com/live/pdf/scripts/12-years-a-slave-2013.pdf?v=1729114848,pdf
https://assets.scriptslug.com/live/pdf/scripts/127-hours-2010.pdf?v=1729114848,127 Hours,127 Hours,https://imsdb.com//scripts//127-Hours.html,both,127 Hours,,,,https://assets.scriptslug.com/live/pdf/scripts/127-hours-2010.pdf?v=1729114848,pdf
