movie_name,script_page_url,pdf_url
10 Things I Hate About You,https://www.scriptslug.com/script/10-things-i-hate-about-you-1999,https://assets.scriptslug.com/live/pdf/scripts/10-things-i-hate-about-you-1999.pdf?v=1729114847
101 Dalmations,https://www.scriptslug.com/script/101-dalmations-1996,https://assets.scriptslug.com/live/pdf/scripts/101-dalmations-1996.pdf?v=1729114847
12 Angry Men,https://www.scriptslug.com/script/12-angry-men-1957,https://assets.scriptslug.com/live/pdf/scripts/12-angry-men-1957.pdf?v=1729114847
12 Strong,https://www.scriptslug.com/script/12-strong-2018,https://assets.scriptslug.com/live/pdf/scripts/12-strong-2018.pdf?v=1729114847
12 Years a Slave,https://www.scriptslug.com/script/12-years-a-slave-2013,https://assets.scriptslug.com/live/pdf/scripts/12-years-a-slave-2013.pdf?v=1729114848
127 Hours,https://www.scriptslug.com/script/127-hours-2010,https://assets.scriptslug.com/live/pdf/scripts/127-hours-2010.pdf?v=1729114848
1408,https://www.scriptslug.com/script/1408-2007,https://assets.scriptslug.com/live/pdf/scripts/1408-2007.pdf?v=1729114848
16 Blocks,https://www.scriptslug.com/script/16-blocks-2006,https://assets.scriptslug.com/live/pdf/scripts/16-blocks-2006.pdf?v=1729114848
1917,https://www.scriptslug.com/script/1917-2019,https://assets.scriptslug.com/live/pdf/scripts/1917-2019.pdf?v=1729114848
2 Fast 2 Furious,https://www.scriptslug.com/script/2-fast-2-furious-2003,https://assets.scriptslug.com/live/pdf/scripts/2-fast-2-furious-2003.pdf?v=1729114848
"2001
A Space Odyssey",https://www.scriptslug.com/script/2001-a-space-odyssey-1968,https://assets.scriptslug.com/live/pdf/scripts/2001-a-space-odyssey-1968.pdf?v=1729114848
"2010
The Year We Make Contact",https://www.scriptslug.com/script/2010-the-year-we-make-contact-1984,https://assets.scriptslug.com/live/pdf/scripts/2010-the-year-we-make-contact-1984.pdf?v=1729114849
20th Century Girl,https://www.scriptslug.com/script/20th-century-girl-2022,https://assets.scriptslug.com/live/pdf/scripts/20th-century-girl-2022.pdf?v=1729114849
20th Century Women,https://www.scriptslug.com/script/20th-century-women-2016,https://assets.scriptslug.com/live/pdf/scripts/20th-century-women-2016.pdf?v=1729114849
21 Jump Street,https://www.scriptslug.com/script/21-jump-street-2012,https://assets.scriptslug.com/live/pdf/scripts/21-jump-street-2012.pdf?v=1729114849
2:13,https://www.scriptslug.com/script/213-2009,https://assets.scriptslug.com/live/pdf/scripts/2-13-2009.pdf?v=1729114848
22 July,https://www.scriptslug.com/script/22-july-2018,https://assets.scriptslug.com/live/pdf/scripts/22-july-2018.pdf?v=1729114849
